2022-08-25 02:17:43 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:43 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #input-payment-zone]
2022-08-25 02:17:43 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:43 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #input-payment-zone]
2022-08-25 02:17:43 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:43 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #input-payment-zone]
2022-08-25 02:17:43 INFO  TestBase:84 - Finding WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #input-payment-zone]
2022-08-25 02:17:43 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #input-payment-zone]
2022-08-25 02:17:43 INFO  TestBase:96 - clicking WebElement.....[[[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #input-payment-zone]] -> xpath: .//option[normalize-space(.) = "Ontario"]]
2022-08-25 02:17:43 INFO  TestBase:101 - Clicked on WebElement.....[[[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #input-payment-zone]] -> xpath: .//option[normalize-space(.) = "Ontario"]]
2022-08-25 02:17:43 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:43 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> id: button-payment-address]
2022-08-25 02:17:43 INFO  TestBase:96 - clicking WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> id: button-payment-address]
2022-08-25 02:17:43 INFO  TestBase:101 - Clicked on WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> id: button-payment-address]
2022-08-25 02:17:43 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:44 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #button-shipping-address]
2022-08-25 02:17:44 INFO  TestBase:96 - clicking WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #button-shipping-address]
2022-08-25 02:17:44 INFO  TestBase:101 - Clicked on WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #button-shipping-address]
2022-08-25 02:17:44 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:45 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #collapse-shipping-method>div>div:last-of-type input]
2022-08-25 02:17:45 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:45 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #collapse-shipping-method>div>div:last-of-type input]
2022-08-25 02:17:45 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:45 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #collapse-shipping-method>div>div:last-of-type input]
2022-08-25 02:17:45 INFO  TestBase:96 - clicking WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #collapse-shipping-method>div>div:last-of-type input]
2022-08-25 02:17:45 INFO  TestBase:101 - Clicked on WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #collapse-shipping-method>div>div:last-of-type input]
2022-08-25 02:17:45 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:46 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #collapse-payment-method>div>div.buttons input:first-of-type]
2022-08-25 02:17:46 INFO  TestBase:96 - clicking WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #collapse-payment-method>div>div.buttons input:first-of-type]
2022-08-25 02:17:46 INFO  TestBase:101 - Clicked on WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #collapse-payment-method>div>div.buttons input:first-of-type]
2022-08-25 02:17:46 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:46 INFO  TestBase:90 - WebElement found.....null
2022-08-25 02:17:46 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:46 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> id: button-payment-method]
2022-08-25 02:17:46 INFO  TestBase:96 - clicking WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> id: button-payment-method]
2022-08-25 02:17:46 INFO  TestBase:101 - Clicked on WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> id: button-payment-method]
2022-08-25 02:17:46 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:47 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> id: button-confirm]
2022-08-25 02:17:47 INFO  TestBase:96 - clicking WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> id: button-confirm]
2022-08-25 02:17:47 INFO  TestBase:101 - Clicked on WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> id: button-confirm]
2022-08-25 02:17:47 INFO  TestBase:17 - Test has passed successfully.....checkoutConfirmTest
2022-08-25 02:17:49 INFO  TestBase:37 - Navigating to URLdata:,
2022-08-25 02:17:53 INFO  TestBase:42 - Navigated to URLhttps://naveenautomationlabs.com/opencart/index.php?route=common/home
2022-08-25 02:17:53 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:53 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (4619ec390eb0158c66aa8ce8d8350ab4)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-08-25 02:17:53 INFO  TestBase:96 - clicking WebElement.....[[ChromeDriver: chrome on WINDOWS (4619ec390eb0158c66aa8ce8d8350ab4)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-08-25 02:17:53 INFO  TestBase:101 - Clicked on WebElement.....[[ChromeDriver: chrome on WINDOWS (4619ec390eb0158c66aa8ce8d8350ab4)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-08-25 02:17:53 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:53 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (4619ec390eb0158c66aa8ce8d8350ab4)] -> css selector: #top-links ul.dropdown-menu li:last-of-type]
2022-08-25 02:17:53 INFO  TestBase:96 - clicking WebElement.....[[ChromeDriver: chrome on WINDOWS (4619ec390eb0158c66aa8ce8d8350ab4)] -> css selector: #top-links ul.dropdown-menu li:last-of-type]
2022-08-25 02:17:53 INFO  TestBase:101 - Clicked on WebElement.....[[ChromeDriver: chrome on WINDOWS (4619ec390eb0158c66aa8ce8d8350ab4)] -> css selector: #top-links ul.dropdown-menu li:last-of-type]
2022-08-25 02:17:53 INFO  TestBase:12 - Test execution has started.....accountLoginTest
2022-08-25 02:17:53 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:53 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (4619ec390eb0158c66aa8ce8d8350ab4)] -> id: input-email]
2022-08-25 02:17:54 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:54 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (4619ec390eb0158c66aa8ce8d8350ab4)] -> id: input-password]
2022-08-25 02:17:54 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:54 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (4619ec390eb0158c66aa8ce8d8350ab4)] -> css selector: input[type='submit']]
2022-08-25 02:17:54 INFO  TestBase:96 - clicking WebElement.....[[ChromeDriver: chrome on WINDOWS (4619ec390eb0158c66aa8ce8d8350ab4)] -> css selector: input[type='submit']]
2022-08-25 02:17:55 INFO  TestBase:101 - Clicked on WebElement.....[[ChromeDriver: chrome on WINDOWS (4619ec390eb0158c66aa8ce8d8350ab4)] -> css selector: input[type='submit']]
2022-08-25 02:17:55 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:55 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (4619ec390eb0158c66aa8ce8d8350ab4)] -> css selector: #content h2]
2022-08-25 02:17:55 INFO  TestBase:157 - Getting text from.....[[ChromeDriver: chrome on WINDOWS (4619ec390eb0158c66aa8ce8d8350ab4)] -> css selector: #content h2]
2022-08-25 02:17:55 INFO  TestBase:162 - Got text from.....[[ChromeDriver: chrome on WINDOWS (4619ec390eb0158c66aa8ce8d8350ab4)] -> css selector: #content h2] : My Account
2022-08-25 02:17:55 INFO  TestBase:17 - Test has passed successfully.....accountLoginTest
2022-08-25 02:17:57 INFO  TestBase:37 - Navigating to URLdata:,
2022-08-25 02:18:00 INFO  TestBase:42 - Navigated to URLhttps://naveenautomationlabs.com/opencart/index.php?route=common/home
2022-08-25 02:18:00 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:18:00 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (ddba86e90a394542688eeb50c8ade89e)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-08-25 02:18:00 INFO  TestBase:96 - clicking WebElement.....[[ChromeDriver: chrome on WINDOWS (ddba86e90a394542688eeb50c8ade89e)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-08-25 02:18:00 INFO  TestBase:101 - Clicked on WebElement.....[[ChromeDriver: chrome on WINDOWS (ddba86e90a394542688eeb50c8ade89e)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-08-25 02:18:00 INFO  TestBase:84 - Finding WebElement.....null
